match_id,round,date,avg_minutes_game,avg_seconds_point,avg_minutes_set,tournament,year,match_minutes
m_2019_A_0,1st Round,2019-01-14,4.81,46.8,43.3,Australian Open,2019,173.0
m_2019_A_1,1st Round,2019-01-14,3.95,35.7,40.5,Australian Open,2019,162.0
m_2019_A_2,1st Round,2019-01-14,4.86,42.3,43.8,Australian Open,2019,175.0
m_2019_A_3,1st Round,2019-01-14,4.43,43.3,41.0,Australian Open,2019,164.0
m_2019_A_4,1st Round,2019-01-14,4.37,39.7,43.7,Australian Open,2019,131.0
m_2019_A_5,1st Round,2019-01-14,4.17,39.7,40.3,Australian Open,2019,121.0
m_2019_A_6,1st Round,2019-01-14,,,,Australian Open,2019,
m_2019_A_7,1st Round,2019-01-14,4.12,40.7,44.3,Australian Open,2019,177.0
m_2019_A_8,1st Round,2019-01-14,4.25,39.4,38.3,Australian Open,2019,153.0
m_2019_A_9,1st Round,2019-01-14,3.73,37.3,37.3,Australian Open,2019,112.0
m_2019_A_10,1st Round,2019-01-14,4.35,42.2,45.0,Australian Open,2019,135.0
m_2019_A_11,1st Round,2019-01-14,4.72,42.3,46.0,Australian Open,2019,184.0
m_2019_A_12,1st Round,2019-01-14,3.71,37.0,44.5,Australian Open,2019,178.0
m_2019_A_13,1st Round,2019-01-14,3.34,36.3,26.8,Australian Open,2019,107.0
m_2019_A_14,1st Round,2019-01-14,5.0,46.7,51.7,Australian Open,2019,155.0
m_2019_A_15,1st Round,2019-01-14,4.16,40.5,36.6,Australian Open,2019,183.0
m_2019_A_16,1st Round,2019-01-14,4.19,39.7,37.8,Australian Open,2019,151.0
m_2019_A_17,1st Round,2019-01-14,3.69,38.5,39.3,Australian Open,2019,118.0
m_2019_A_18,1st Round,2019-01-14,3.95,40.2,30.8,Australian Open,2019,154.0
m_2019_A_19,1st Round,2019-01-14,3.95,37.2,37.5,Australian Open,2019,150.0
m_2019_A_20,1st Round,2019-01-14,3.98,36.2,40.8,Australian Open,2019,163.0
m_2019_A_21,1st Round,2019-01-14,3.78,39.7,34.0,Australian Open,2019,102.0
m_2019_A_22,1st Round,2019-01-14,4.0,41.7,37.3,Australian Open,2019,112.0
m_2019_A_23,1st Round,2019-01-14,,,,Australian Open,2019,
m_2019_A_24,1st Round,2019-01-14,3.62,39.7,35.3,Australian Open,2019,141.0
m_2019_A_25,1st Round,2019-01-14,3.86,35.2,28.3,Australian Open,2019,85.0
m_2019_A_26,1st Round,2019-01-14,4.57,38.3,48.0,Australian Open,2019,192.0
m_2019_A_27,1st Round,2019-01-14,4.13,40.3,39.3,Australian Open,2019,157.0
m_2019_A_28,1st Round,2019-01-14,4.28,35.3,41.3,Australian Open,2019,124.0
m_2019_A_29,1st Round,2019-01-14,4.79,49.3,49.8,Australian Open,2019,249.0
m_2019_A_30,1st Round,2019-01-14,4.1,37.5,41.0,Australian Open,2019,123.0
m_2019_A_31,1st Round,2019-01-14,4.03,38.8,39.0,Australian Open,2019,117.0
m_2019_A_32,1st Round,2019-01-15,5.14,43.4,72.0,Australian Open,2019,144.0
m_2019_A_33,1st Round,2019-01-15,5.91,46.4,65.0,Australian Open,2019,195.0
m_2019_A_34,1st Round,2019-01-15,4.47,43.3,48.0,Australian Open,2019,192.0
m_2019_A_35,1st Round,2019-01-15,4.42,43.4,42.0,Australian Open,2019,168.0
m_2019_A_36,1st Round,2019-01-15,,,,Australian Open,2019,
m_2019_A_37,1st Round,2019-01-15,,,,Australian Open,2019,
m_2019_A_38,1st Round,2019-01-15,3.67,39.1,33.0,Australian Open,2019,99.0
m_2019_A_39,1st Round,2019-01-15,4.86,44.0,35.7,Australian Open,2019,107.0
m_2019_A_40,1st Round,2019-01-15,3.88,36.8,46.5,Australian Open,2019,186.0
m_2019_A_41,1st Round,2019-01-15,4.48,44.5,40.3,Australian Open,2019,121.0
m_2019_A_42,1st Round,2019-01-15,4.25,42.1,43.4,Australian Open,2019,217.0
m_2019_A_43,1st Round,2019-01-15,3.8,37.5,33.3,Australian Open,2019,133.0
m_2019_A_44,1st Round,2019-01-15,4.63,41.7,48.2,Australian Open,2019,241.0
m_2019_A_45,1st Round,2019-01-15,4.45,41.1,45.4,Australian Open,2019,227.0
m_2019_A_46,1st Round,2019-01-15,4.32,39.2,44.3,Australian Open,2019,177.0
m_2019_A_47,1st Round,2019-01-15,4.23,41.0,42.3,Australian Open,2019,127.0
m_2019_A_48,1st Round,2019-01-15,4.26,42.9,38.3,Australian Open,2019,115.0
m_2019_A_49,1st Round,2019-01-15,4.0,36.4,29.3,Australian Open,2019,88.0
m_2019_A_50,1st Round,2019-01-15,3.97,39.0,38.3,Australian Open,2019,115.0
m_2019_A_51,1st Round,2019-01-15,5.11,43.1,92.0,Australian Open,2019,92.0
m_2019_A_52,1st Round,2019-01-15,3.62,36.0,35.0,Australian Open,2019,105.0
m_2019_A_53,1st Round,2019-01-15,3.62,38.4,35.0,Australian Open,2019,105.0
m_2019_A_54,1st Round,2019-01-15,4.62,44.2,40.0,Australian Open,2019,120.0
m_2019_A_55,1st Round,2019-01-15,,,,Australian Open,2019,
m_2019_A_56,1st Round,2019-01-15,4.44,39.1,48.8,Australian Open,2019,244.0
m_2019_A_57,1st Round,2019-01-15,3.64,37.0,32.8,Australian Open,2019,164.0
m_2019_A_58,1st Round,2019-01-15,3.5,32.8,39.7,Australian Open,2019,119.0
m_2019_A_59,1st Round,2019-01-15,4.62,42.4,60.0,Australian Open,2019,60.0
m_2019_A_60,1st Round,2019-01-15,3.96,40.7,33.0,Australian Open,2019,99.0
m_2019_A_61,1st Round,2019-01-15,4.92,40.5,41.0,Australian Open,2019,123.0
m_2019_A_62,1st Round,2019-01-15,3.63,40.7,38.7,Australian Open,2019,116.0
m_2019_A_63,1st Round,2019-01-15,4.72,40.1,44.4,Australian Open,2019,222.0
m_2019_A_64,2nd Round,2019-01-16,4.34,39.1,46.0,Australian Open,2019,230.0
m_2019_A_65,2nd Round,2019-01-16,3.78,39.0,34.8,Australian Open,2019,174.0
m_2019_A_66,2nd Round,2019-01-16,4.32,41.7,40.0,Australian Open,2019,160.0
m_2019_A_67,2nd Round,2019-01-16,3.93,38.6,38.0,Australian Open,2019,114.0
m_2019_A_68,2nd Round,2019-01-16,3.16,35.6,26.3,Australian Open,2019,79.0
m_2019_A_69,2nd Round,2019-01-16,4.93,45.5,54.3,Australian Open,2019,217.0
m_2019_A_70,2nd Round,2019-01-16,4.26,43.3,44.8,Australian Open,2019,179.0
m_2019_A_71,2nd Round,2019-01-16,5.29,48.3,49.3,Australian Open,2019,148.0
m_2019_A_72,2nd Round,2019-01-16,4.7,43.5,51.7,Australian Open,2019,155.0
m_2019_A_73,2nd Round,2019-01-16,4.53,35.5,51.0,Australian Open,2019,204.0
m_2019_A_74,2nd Round,2019-01-16,4.52,37.9,40.7,Australian Open,2019,122.0
m_2019_A_75,2nd Round,2019-01-16,4.16,38.1,42.4,Australian Open,2019,212.0
m_2019_A_76,2nd Round,2019-01-16,4.85,43.2,45.6,Australian Open,2019,228.0
m_2019_A_77,2nd Round,2019-01-16,4.02,35.6,42.3,Australian Open,2019,169.0
m_2019_A_78,2nd Round,2019-01-16,4.73,42.3,46.4,Australian Open,2019,232.0
m_2019_A_79,2nd Round,2019-01-16,4.64,44.6,38.7,Australian Open,2019,116.0
m_2019_A_80,2nd Round,2019-01-17,4.0,41.7,45.6,Australian Open,2019,228.0
m_2019_A_81,2nd Round,2019-01-17,5.02,44.6,60.3,Australian Open,2019,241.0
m_2019_A_82,2nd Round,2019-01-17,4.61,41.8,51.6,Australian Open,2019,258.0
m_2019_A_83,2nd Round,2019-01-17,4.69,43.4,45.3,Australian Open,2019,136.0
m_2019_A_84,2nd Round,2019-01-17,4.69,46.1,45.3,Australian Open,2019,136.0
m_2019_A_85,2nd Round,2019-01-17,4.33,41.7,47.7,Australian Open,2019,143.0
m_2019_A_86,2nd Round,2019-01-17,,,,Australian Open,2019,
m_2019_A_87,2nd Round,2019-01-17,5.06,38.5,57.3,Australian Open,2019,172.0
m_2019_A_88,2nd Round,2019-01-17,3.68,41.4,40.5,Australian Open,2019,162.0
m_2019_A_89,2nd Round,2019-01-17,4.88,42.2,48.8,Australian Open,2019,244.0
m_2019_A_90,2nd Round,2019-01-17,4.39,41.1,50.5,Australian Open,2019,202.0
m_2019_A_91,2nd Round,2019-01-17,4.27,43.4,42.7,Australian Open,2019,128.0
m_2019_A_92,2nd Round,2019-01-17,4.33,36.9,52.0,Australian Open,2019,104.0
m_2019_A_93,2nd Round,2019-01-17,3.37,38.5,30.3,Australian Open,2019,91.0
m_2019_A_94,2nd Round,2019-01-17,4.26,39.9,45.2,Australian Open,2019,226.0
m_2019_A_95,2nd Round,2019-01-17,,,,Australian Open,2019,
m_2019_A_96,3rd Round,2019-01-18,4.35,40.0,43.5,Australian Open,2019,174.0
m_2019_A_97,3rd Round,2019-01-18,4.19,40.1,45.0,Australian Open,2019,180.0
m_2019_A_98,3rd Round,2019-01-18,3.14,35.7,29.3,Australian Open,2019,88.0
m_2019_A_99,3rd Round,2019-01-18,3.94,41.2,39.4,Australian Open,2019,197.0
m_2019_A_100,3rd Round,2019-01-18,3.97,41.9,42.3,Australian Open,2019,127.0
m_2019_A_101,3rd Round,2019-01-18,4.0,41.3,42.7,Australian Open,2019,128.0
m_2019_A_102,3rd Round,2019-01-18,5.68,47.1,47.3,Australian Open,2019,142.0
m_2019_A_103,3rd Round,2019-01-18,5.49,48.7,51.6,Australian Open,2019,258.0
m_2019_A_104,3rd Round,2019-01-19,4.17,41.0,40.3,Australian Open,2019,121.0
m_2019_A_105,3rd Round,2019-01-19,4.67,45.0,42.0,Australian Open,2019,126.0
m_2019_A_106,3rd Round,2019-01-19,4.17,40.4,37.5,Australian Open,2019,150.0
m_2019_A_107,3rd Round,2019-01-19,,,,Australian Open,2019,
m_2019_A_108,3rd Round,2019-01-19,4.06,43.0,35.5,Australian Open,2019,142.0
m_2019_A_109,3rd Round,2019-01-19,4.53,42.7,40.8,Australian Open,2019,163.0
m_2019_A_110,3rd Round,2019-01-19,4.31,38.4,37.3,Australian Open,2019,112.0
m_2019_A_111,3rd Round,2019-01-19,4.29,38.2,44.6,Australian Open,2019,223.0
m_2019_A_112,4th Round,2019-01-20,4.56,39.0,54.8,Australian Open,2019,219.0
m_2019_A_113,4th Round,2019-01-20,5.0,47.2,41.7,Australian Open,2019,125.0
m_2019_A_114,4th Round,2019-01-20,4.86,44.5,47.6,Australian Open,2019,238.0
m_2019_A_115,4th Round,2019-01-20,4.69,39.2,56.3,Australian Open,2019,225.0
m_2019_A_116,4th Round,2019-01-21,4.58,42.5,39.7,Australian Open,2019,119.0
m_2019_A_117,4th Round,2019-01-21,4.24,40.3,48.8,Australian Open,2019,195.0
m_2019_A_118,4th Round,2019-01-21,5.45,43.0,61.0,Australian Open,2019,305.0
m_2019_A_119,4th Round,2019-01-21,5.0,43.7,48.8,Australian Open,2019,195.0
m_2019_A_120,Quarterfinals,2019-01-22,4.43,45.5,48.8,Australian Open,2019,195.0
m_2019_A_121,Quarterfinals,2019-01-22,3.96,43.1,35.7,Australian Open,2019,107.0
m_2019_A_122,Quarterfinals,2019-01-23,4.23,40.3,45.5,Australian Open,2019,182.0
m_2019_A_123,Quarterfinals,2019-01-23,4.33,41.1,52.0,Australian Open,2019,52.0
m_2019_A_124,Semifinals,2019-01-24,4.42,50.5,35.3,Australian Open,2019,106.0
m_2019_A_125,Semifinals,2019-01-25,3.77,39.2,27.7,Australian Open,2019,83.0
m_2019_A_126,The Final,2019-01-27,4.77,52.4,41.3,Australian Open,2019,124.0
