player_id,name,hand,country,birthday
atp_100001,Gardnar Mulloy,R,USA,1913-11-22
atp_100003,Frank Sedgman,R,AUS,1927-10-02
atp_100004,Giuseppe Merlo,R,ITA,1927-10-11
atp_100005,Richard Pancho Gonzales,R,USA,1928-05-09
atp_100006,Grant Golden,R,USA,1929-08-21
atp_100007,Abe Segal,L,RSA,1930-10-23
atp_100008,Kurt Nielsen,R,DEN,1930-11-19
atp_100009,Istvan Gulyas,R,HUN,1931-10-14
atp_100010,Luis Ayala,R,CHI,1932-09-18
atp_100011,Torben Ulrich,L,DEN,1932-10-04
atp_100012,Nicola Pietrangeli,R,ITA,1933-09-11
atp_100013,Neale Fraser,L,AUS,1933-10-03
atp_100014,Trevor Fancutt,R,RSA,1934-07-14
atp_100015,Sammy Giammalva,R,USA,1934-08-01
atp_100016,Ken Rosewall,R,AUS,1934-11-02
atp_100017,Mal Anderson,R,AUS,1935-03-03
atp_100018,Barry Mackay,R,USA,1935-08-31
atp_100019,Wieslaw Gasiorek,R,POL,1936-01-13
atp_100020,Alejandro Olmedo,R,PER,1936-03-24
atp_100021,Ashley Cooper,R,AUS,1936-09-15
atp_100022,Roy Emerson,R,AUS,1936-11-03
atp_100023,Ramanathan Krishnan,R,IND,1937-04-11
atp_100024,Jan Eric Lundquist,R,SWE,1937-04-14
atp_100025,Barry Phillips Moore,R,AUS,1937-07-09
atp_100026,Andres Gimeno,R,ESP,1937-08-03
atp_100027,Gene Scott,R,USA,1937-12-28
atp_100028,Manuel Santana,R,ESP,1938-05-10
atp_100029,Rod Laver,L,AUS,1938-08-09
atp_100030,Fred Stolle,R,AUS,1938-10-08
atp_100031,Dimitri Sturdza,R,SUI,1938-11-10
atp_100032,Patricio Rodriguez Chi,R,CHI,1938-12-20
atp_100033,Wilhelm Bungert,R,GER,1939-04-01
atp_100034,Christian Kuhnke,R,GER,1939-04-13
atp_100035,Ion Tiriac,R,ROU,1939-05-09
atp_100036,Rudy Hernando,R,USA,1939-06-10
atp_100037,Nikola Pilic,L,CRO,1939-08-27
atp_100038,Jaime Pinto Bravo,R,CHI,1939-10-09
atp_100039,Boro Jovanovic,R,CRO,1939-10-21
atp_100040,Bob Hewitt,R,RSA,1940-01-12
atp_100041,Ned Neely,R,USA,1940-01-14
atp_100042,Ryoichi Mori,R,JPN,1940-01-14
atp_100043,Zdenek Slizek,R,CZE,1940-02-19
atp_100044,Sergei Likhachev,R,RUS,1940-03-20
atp_100046,Larry Nagler,R,USA,1940-07-01
atp_100047,Bob Carmichael,R,AUS,1940-07-04
atp_100048,Earl Butch Buchholz,R,USA,1940-09-16
atp_100049,Jim Mcmanus,L,USA,1940-09-16
atp_100050,Martin Mulligan,R,AUS,1940-10-18
atp_100051,Premjit Lall,R,IND,1940-10-20
atp_100052,Keishiro Yanagi,R,JPN,1941-02-24
atp_100053,Colin Stubs,R,AUS,1941-02-27
atp_100054,Jose Mandarino,R,BRA,1941-03-26
atp_100055,Cliff Drysdale,R,RSA,1941-05-26
atp_100056,Harald Elschenbroich,R,GER,1941-06-19
atp_100057,Pierre Barthes,R,FRA,1941-09-13
atp_100058,Roger Taylor,L,GBR,1941-10-14
atp_100059,Isao Watanabe,R,JPN,1941-11-23
atp_100060,Marty Riessen,R,USA,1941-12-04
atp_100061,Tom Edlefsen,R,USA,1941-12-12
atp_100062,Francois Jauffret,R,FRA,1942-02-09
atp_100063,William Higgins,R,USA,1942-04-02
atp_100064,Juan Gisbert,R,ESP,1942-04-05
atp_100066,Frank Froehling,R,USA,1942-05-19
atp_100067,Frew Mcmillan,R,RSA,1942-05-20
atp_100068,Herb Fitzgibbon,R,USA,1942-07-14
