match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,avg_odds,max_odds,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
m_2019_A_0,atp_104731,4810.0,6.0,True,3.0,6.0,5.0,6.0,6.0,,1.06,1.08,124.0,73.0,51.0,14.0,5.0,7.0,29.0,22.0,71.0,5.0,0.6454545454545455
m_2019_A_1,atp_105932,1820.0,20.0,True,3.0,6.0,4.0,7.0,6.0,,1.23,1.3,142.0,92.0,50.0,11.0,10.0,15.0,17.0,33.0,90.0,9.0,0.6206896551724138
m_2019_A_2,atp_105430,585.0,98.0,True,3.0,3.0,6.0,6.0,6.0,,2.14,2.22,132.0,73.0,59.0,10.0,8.0,13.0,27.0,32.0,90.0,1.0,0.72
m_2019_A_3,atp_105882,401.0,137.0,True,3.0,6.0,6.0,6.0,6.0,,1.44,1.5,127.0,82.0,45.0,23.0,5.0,6.0,16.0,29.0,63.0,3.0,0.5431034482758621
m_2019_A_4,atp_104269,1410.0,28.0,True,3.0,7.0,6.0,6.0,,,1.47,1.5,110.0,63.0,47.0,21.0,1.0,2.0,29.0,18.0,58.0,6.0,0.6666666666666666
m_2019_A_5,atp_104655,616.0,94.0,True,3.0,6.0,7.0,6.0,,,3.11,3.51,103.0,54.0,49.0,5.0,3.0,5.0,23.0,26.0,46.0,0.0,0.575
m_2019_A_7,atp_126774,2095.0,15.0,True,3.0,6.0,6.0,6.0,7.0,,1.4,1.45,135.0,96.0,39.0,15.0,2.0,2.0,16.0,23.0,88.0,4.0,0.6875
m_2019_A_8,atp_105777,1790.0,21.0,True,3.0,4.0,6.0,6.0,6.0,,1.06,1.08,128.0,77.0,51.0,18.0,3.0,4.0,22.0,29.0,69.0,8.0,0.6160714285714286
m_2019_A_9,atp_126207,1080.0,39.0,True,3.0,7.0,6.0,6.0,,,1.3,1.36,99.0,64.0,35.0,7.0,4.0,6.0,21.0,14.0,59.0,3.0,0.6555555555555556
m_2019_A_10,atp_104745,7480.0,2.0,True,3.0,6.0,6.0,7.0,,,1.04,1.06,107.0,56.0,51.0,6.0,1.0,3.0,22.0,29.0,54.0,2.0,0.6666666666666666
m_2019_A_11,atp_105341,573.0,102.0,True,3.0,6.0,7.0,2.0,6.0,,2.04,2.12,133.0,84.0,49.0,3.0,6.0,10.0,25.0,24.0,99.0,3.0,0.7333333333333333
m_2019_A_12,atp_124187,593.0,97.0,True,3.0,7.0,7.0,6.0,7.0,,2.75,2.96,142.0,116.0,26.0,40.0,1.0,2.0,14.0,12.0,87.0,6.0,0.5761589403973509
m_2019_A_13,atp_106043,1925.0,16.0,True,3.0,6.0,6.0,4.0,6.0,,1.13,1.17,109.0,64.0,45.0,9.0,2.0,3.0,26.0,19.0,55.0,2.0,0.6470588235294118
m_2019_A_14,atp_105554,266.0,189.0,True,3.0,7.0,6.0,7.0,,,1.33,1.36,108.0,71.0,37.0,9.0,2.0,2.0,10.0,27.0,62.0,2.0,0.6262626262626263
m_2019_A_15,atp_106045,818.0,62.0,True,3.0,5.0,1.0,6.0,6.0,6.0,1.27,1.33,141.0,93.0,48.0,19.0,14.0,17.0,24.0,24.0,87.0,11.0,0.6126760563380281
m_2019_A_16,atp_111575,2835.0,11.0,True,3.0,3.0,6.0,6.0,6.0,,1.1,1.13,120.0,67.0,53.0,15.0,1.0,3.0,22.0,31.0,59.0,4.0,0.5959595959595959
