match_id,tournament,date,round,duration
m_2019_A_0,Australian Open,2019-01-14,1st Round,173
m_2019_A_1,Australian Open,2019-01-14,1st Round,162
m_2019_A_2,Australian Open,2019-01-14,1st Round,175
m_2019_A_3,Australian Open,2019-01-14,1st Round,164
m_2019_A_4,Australian Open,2019-01-14,1st Round,131
m_2019_A_5,Australian Open,2019-01-14,1st Round,121
m_2019_A_7,Australian Open,2019-01-14,1st Round,177
m_2019_A_8,Australian Open,2019-01-14,1st Round,153
m_2019_A_9,Australian Open,2019-01-14,1st Round,112
m_2019_A_10,Australian Open,2019-01-14,1st Round,135
m_2019_A_11,Australian Open,2019-01-14,1st Round,184
m_2019_A_12,Australian Open,2019-01-14,1st Round,178
m_2019_A_13,Australian Open,2019-01-14,1st Round,107
m_2019_A_14,Australian Open,2019-01-14,1st Round,155
m_2019_A_15,Australian Open,2019-01-14,1st Round,183
m_2019_A_16,Australian Open,2019-01-14,1st Round,151
m_2019_A_17,Australian Open,2019-01-14,1st Round,118
m_2019_A_18,Australian Open,2019-01-14,1st Round,154
m_2019_A_19,Australian Open,2019-01-14,1st Round,150
m_2019_A_20,Australian Open,2019-01-14,1st Round,163
m_2019_A_21,Australian Open,2019-01-14,1st Round,102
m_2019_A_22,Australian Open,2019-01-14,1st Round,112
m_2019_A_24,Australian Open,2019-01-14,1st Round,141
m_2019_A_25,Australian Open,2019-01-14,1st Round,85
m_2019_A_26,Australian Open,2019-01-14,1st Round,192
m_2019_A_27,Australian Open,2019-01-14,1st Round,157
m_2019_A_28,Australian Open,2019-01-14,1st Round,124
m_2019_A_29,Australian Open,2019-01-14,1st Round,249
m_2019_A_30,Australian Open,2019-01-14,1st Round,123
m_2019_A_31,Australian Open,2019-01-14,1st Round,117
m_2019_A_32,Australian Open,2019-01-15,1st Round,144
m_2019_A_33,Australian Open,2019-01-15,1st Round,195
m_2019_A_34,Australian Open,2019-01-15,1st Round,192
m_2019_A_35,Australian Open,2019-01-15,1st Round,168
m_2019_A_38,Australian Open,2019-01-15,1st Round,99
m_2019_A_39,Australian Open,2019-01-15,1st Round,107
m_2019_A_40,Australian Open,2019-01-15,1st Round,186
m_2019_A_41,Australian Open,2019-01-15,1st Round,121
m_2019_A_42,Australian Open,2019-01-15,1st Round,217
m_2019_A_43,Australian Open,2019-01-15,1st Round,133
m_2019_A_44,Australian Open,2019-01-15,1st Round,241
m_2019_A_45,Australian Open,2019-01-15,1st Round,227
m_2019_A_46,Australian Open,2019-01-15,1st Round,177
m_2019_A_47,Australian Open,2019-01-15,1st Round,127
m_2019_A_48,Australian Open,2019-01-15,1st Round,115
m_2019_A_49,Australian Open,2019-01-15,1st Round,88
m_2019_A_50,Australian Open,2019-01-15,1st Round,115
m_2019_A_51,Australian Open,2019-01-15,1st Round,92
m_2019_A_52,Australian Open,2019-01-15,1st Round,105
m_2019_A_53,Australian Open,2019-01-15,1st Round,105
m_2019_A_54,Australian Open,2019-01-15,1st Round,120
m_2019_A_56,Australian Open,2019-01-15,1st Round,244
m_2019_A_57,Australian Open,2019-01-15,1st Round,164
m_2019_A_58,Australian Open,2019-01-15,1st Round,119
m_2019_A_59,Australian Open,2019-01-15,1st Round,60
m_2019_A_60,Australian Open,2019-01-15,1st Round,99
m_2019_A_61,Australian Open,2019-01-15,1st Round,123
m_2019_A_62,Australian Open,2019-01-15,1st Round,116
m_2019_A_63,Australian Open,2019-01-15,1st Round,222
m_2019_A_64,Australian Open,2019-01-16,2nd Round,230
m_2019_A_65,Australian Open,2019-01-16,2nd Round,174
m_2019_A_66,Australian Open,2019-01-16,2nd Round,160
m_2019_A_67,Australian Open,2019-01-16,2nd Round,114
m_2019_A_68,Australian Open,2019-01-16,2nd Round,79
m_2019_A_69,Australian Open,2019-01-16,2nd Round,217
m_2019_A_70,Australian Open,2019-01-16,2nd Round,179
m_2019_A_71,Australian Open,2019-01-16,2nd Round,148
m_2019_A_72,Australian Open,2019-01-16,2nd Round,155
m_2019_A_73,Australian Open,2019-01-16,2nd Round,204
m_2019_A_74,Australian Open,2019-01-16,2nd Round,122
m_2019_A_75,Australian Open,2019-01-16,2nd Round,212
m_2019_A_76,Australian Open,2019-01-16,2nd Round,228
m_2019_A_77,Australian Open,2019-01-16,2nd Round,169
m_2019_A_78,Australian Open,2019-01-16,2nd Round,232
m_2019_A_79,Australian Open,2019-01-16,2nd Round,116
m_2019_A_80,Australian Open,2019-01-17,2nd Round,228
m_2019_A_81,Australian Open,2019-01-17,2nd Round,241
m_2019_A_82,Australian Open,2019-01-17,2nd Round,258
m_2019_A_83,Australian Open,2019-01-17,2nd Round,136
m_2019_A_84,Australian Open,2019-01-17,2nd Round,136
m_2019_A_85,Australian Open,2019-01-17,2nd Round,143
m_2019_A_87,Australian Open,2019-01-17,2nd Round,172
m_2019_A_88,Australian Open,2019-01-17,2nd Round,162
m_2019_A_89,Australian Open,2019-01-17,2nd Round,244
m_2019_A_90,Australian Open,2019-01-17,2nd Round,202
m_2019_A_91,Australian Open,2019-01-17,2nd Round,128
m_2019_A_92,Australian Open,2019-01-17,2nd Round,104
m_2019_A_93,Australian Open,2019-01-17,2nd Round,91
m_2019_A_94,Australian Open,2019-01-17,2nd Round,226
m_2019_A_96,Australian Open,2019-01-18,3rd Round,174
m_2019_A_97,Australian Open,2019-01-18,3rd Round,180
m_2019_A_98,Australian Open,2019-01-18,3rd Round,88
