player_id,name,hand,country,birthdate
atp_100644,Alexander Zverev,R,GER,1997-04-20
atp_103333,Ivo Karlovic,R,CRO,1979-02-28
atp_103819,Roger Federer,R,SUI,1981-08-08
atp_103852,Feliciano Lopez,L,ESP,1981-09-20
atp_103893,Paolo Lorenzi,R,ITA,1981-12-15
atp_103917,Nicolas Mahut,R,FRA,1982-01-21
atp_104198,Guillermo Garcia Lopez,R,ESP,1983-06-04
atp_104259,Philipp Kohlschreiber,R,GER,1983-10-16
atp_104269,Fernando Verdasco,L,ESP,1983-11-15
atp_104291,Malek Jaziri,R,TUN,1984-01-20
atp_104312,Andreas Seppi,R,ITA,1984-02-21
atp_104327,Steve Darcis,R,BEL,1984-03-13
atp_104386,Janko Tipsarevic,R,SRB,1984-06-22
atp_104468,Gilles Simon,R,FRA,1984-12-27
atp_104527,Stan Wawrinka,R,SUI,1985-03-28
atp_104542,Jo Wilfried Tsonga,R,FRA,1985-04-17
atp_104545,John Isner,R,USA,1985-04-26
atp_104563,Luca Vanni,R,ITA,1985-06-04
atp_104571,Marcos Baghdatis,R,CYP,1985-06-17
atp_104586,Lukas Rosol,R,CZE,1985-07-24
atp_104607,Tomas Berdych,R,CZE,1985-09-17
atp_104620,Simone Bolelli,R,ITA,1985-10-08
atp_104655,Pablo Cuevas,R,URU,1986-01-01
atp_104660,Sergiy Stakhovsky,R,UKR,1986-01-06
atp_104665,Pablo Andujar,R,ESP,1986-01-23
atp_104678,Viktor Troicki,R,SRB,1986-02-10
atp_104719,Marcel Granollers,R,ESP,1986-04-12
atp_104731,Kevin Anderson,R,RSA,1986-05-18
atp_104735,Tobias Kamke,R,GER,1986-05-21
atp_104745,Rafael Nadal,L,ESP,1986-06-03
atp_104755,Richard Gasquet,R,FRA,1986-06-18
atp_104792,Gael Monfils,R,FRA,1986-09-01
atp_104797,Denis Istomin,R,UZB,1986-09-07
atp_104810,Zhe Li,R,CHN,1986-09-20
atp_104868,James Ward,R,GBR,1987-02-09
atp_104871,Jeremy Chardy,R,FRA,1987-02-12
atp_104898,Robin Haase,R,NED,1987-04-06
atp_104918,Andy Murray,R,GBR,1987-05-15
atp_104919,Leonardo Mayer,R,ARG,1987-05-15
atp_104925,Novak Djokovic,R,SRB,1987-05-22
atp_104926,Fabio Fognini,R,ITA,1987-05-24
atp_104999,Mischa Zverev,L,GER,1987-08-22
atp_105023,Sam Querrey,R,USA,1987-10-07
atp_105051,Matthew Ebden,R,AUS,1987-11-26
atp_105053,Santiago Giraldo,R,COL,1987-11-27
atp_105062,Mikhail Kukushkin,R,KAZ,1987-12-26
atp_105063,Andrea Arnaboldi,L,ITA,1987-12-27
atp_105074,Ruben Bemelmans,L,BEL,1988-01-14
atp_105077,Albert Ramos,L,ESP,1988-01-17
atp_105138,Roberto Bautista Agut,R,ESP,1988-04-14
atp_105147,Tatsuma Ito,R,JPN,1988-05-18
atp_105155,Pedro Sousa,R,POR,1988-05-27
atp_105163,Gleb Sakharov,R,FRA,1988-06-10
atp_105173,Adrian Mannarino,L,FRA,1988-06-29
atp_105208,Ernests Gulbis,R,LAT,1988-08-30
atp_105216,Yuichi Sugita,R,JPN,1988-09-18
atp_105223,Juan Martin Del Potro,R,ARG,1988-09-23
atp_105227,Marin Cilic,R,CRO,1988-09-28
atp_105311,Joao Sousa,R,POR,1989-03-30
atp_105332,Benoit Paire,R,FRA,1989-05-08
atp_105341,Thomas Fabbiano,R,ITA,1989-05-26
atp_105357,John Millman,R,AUS,1989-06-14
atp_105373,Martin Klizan,L,SVK,1989-07-11
atp_105376,Peter Gojowczyk,R,GER,1989-07-15
atp_105379,Aljaz Bedene,R,SLO,1989-07-18
atp_105430,Radu Albot,R,MDA,1989-11-11
atp_105432,Prajnesh Gunneswaran,L,IND,1989-11-12
atp_105449,Steve Johnson,R,USA,1989-12-24
atp_105453,Kei Nishikori,R,JPN,1989-12-29
atp_105477,Marco Trungelliti,R,ARG,1990-01-31
